T-4,T-3,T-2,T-1,T-0,Effort
2.259135959,2.614852681,3.900722295,2.563227782,3.679610111,2.190773466
2.614852681,3.900722295,2.563227782,3.679610111,3.622878331,2.004852932
3.900722295,2.563227782,3.679610111,3.622878331,3.032154132,2.004852932
2.563227782,3.679610111,3.622878331,3.032154132,3.856031382,2.004852932
3.679610111,3.622878331,3.032154132,3.856031382,3.30159756,2.004852932
3.622878331,3.032154132,3.856031382,3.30159756,2.483433168,1.742570182
3.032154132,3.856031382,3.30159756,2.483433168,3.611007861,1.742570182
3.856031382,3.30159756,2.483433168,3.611007861,2.847953616,1.622629777
3.30159756,2.483433168,3.611007861,2.847953616,2.448767371,1.572009698
2.483433168,3.611007861,2.847953616,2.448767371,2.151148456,1.516290379
3.611007861,2.847953616,2.448767371,2.151148456,2.213326756,1.396458463
2.847953616,2.448767371,2.151148456,2.213326756,1.768349146,1.31038372
2.448767371,2.151148456,2.213326756,1.768349146,1.702054213,1.170970176
2.151148456,2.213326756,1.768349146,1.702054213,1.359759779,0.931354442
2.213326756,1.768349146,1.702054213,1.359759779,1.538423839,0.880918307
1.768349146,1.702054213,1.359759779,1.538423839,1.247033901,0.828646956
1.702054213,1.359759779,1.538423839,1.247033901,1.232626465,0.595703267
1.359759779,1.538423839,1.247033901,1.232626465,0.458250287,0.396886041
1.538423839,1.247033901,1.232626465,0.458250287,0.611530029,0.295456643
1.247033901,1.232626465,0.458250287,0.611530029,0.950522436,0.194566626
1.232626465,0.458250287,0.611530029,0.950522436,-0.175523638,0.08075272
0.458250287,0.611530029,0.950522436,-0.175523638,0.056425445,0.08075272
0.611530029,0.950522436,-0.175523638,0.056425445,-0.300899904,-0.248734302
0.950522436,-0.175523638,0.056425445,-0.300899904,-1.267904958,-0.381037369
-0.175523638,0.056425445,-0.300899904,-1.267904958,-0.599451089,-0.642923676
0.056425445,-0.300899904,-1.267904958,-0.599451089,-0.835514343,-0.826521644
-0.300899904,-1.267904958,-0.599451089,-0.835514343,-1.208270895,-0.826521644
-1.267904958,-0.599451089,-0.835514343,-1.208270895,-0.863928453,-0.826521644
-0.599451089,-0.835514343,-1.208270895,-0.863928453,-1.009509995,-0.826521644
-0.835514343,-1.208270895,-0.863928453,-1.009509995,-1.142418133,-0.826521644
-1.208270895,-0.863928453,-1.009509995,-1.142418133,-0.93088437,-0.826521644
-0.863928453,-1.009509995,-1.142418133,-0.93088437,-1.139467947,-0.826521644
-1.009509995,-1.142418133,-0.93088437,-1.139467947,-3.243249515,-2.573619704
-1.142418133,-0.93088437,-1.139467947,-3.243249515,-3.67186805,-2.573619704
-0.93088437,-1.139467947,-3.243249515,-3.67186805,-3.138194063,-2.573619704
-1.139467947,-3.243249515,-3.67186805,-3.138194063,-3.610405831,-2.573619704
