T-4,T-3,T-2,T-1,T-0,T-0
2.081838857,1.331706753,1.662943365,1.483433113,0.800871261,1.324229426
1.331706753,1.662943365,1.483433113,0.800871261,1.338525261,1.131985194
1.662943365,1.483433113,0.800871261,1.338525261,1.491500186,1.243280874
1.483433113,0.800871261,1.338525261,1.491500186,1.61546538,1.300496805
0.800871261,1.338525261,1.491500186,1.61546538,1.531902599,1.339496055
1.338525261,1.491500186,1.61546538,1.531902599,1.264242293,1.35534197
1.491500186,1.61546538,1.531902599,1.264242293,1.759669743,1.375863805
1.61546538,1.531902599,1.264242293,1.759669743,1.603049235,1.397974046
1.531902599,1.264242293,1.759669743,1.603049235,1.882192386,1.403394165
1.264242293,1.759669743,1.603049235,1.882192386,1.207182299,1.392020759
1.759669743,1.603049235,1.882192386,1.207182299,1.243461163,1.359079935
1.603049235,1.882192386,1.207182299,1.243461163,1.445152115,1.319381823
1.882192386,1.207182299,1.243461163,1.445152115,1.210959496,1.28189119
1.207182299,1.243461163,1.445152115,1.210959496,1.26159707,1.245283651
1.243461163,1.445152115,1.210959496,1.26159707,1.076665801,1.144988878
1.445152115,1.210959496,1.26159707,1.076665801,1.322070723,1.144988878
1.210959496,1.26159707,1.076665801,1.322070723,1.229438175,1.158142597
1.26159707,1.076665801,1.322070723,1.229438175,1.492907917,1.234964198
1.076665801,1.322070723,1.229438175,1.492907917,1.324514666,1.250722373
1.322070723,1.229438175,1.492907917,1.324514666,1.318267433,1.231805248
1.229438175,1.492907917,1.324514666,1.318267433,1.304919661,1.190011952
1.492907917,1.324514666,1.318267433,1.304919661,1.437678696,1.258787521
1.324514666,1.318267433,1.304919661,1.437678696,1.430408832,1.270064624
1.318267433,1.304919661,1.437678696,1.430408832,1.61309302,1.263638539
1.304919661,1.437678696,1.430408832,1.61309302,1.108628607,1.230547238
1.437678696,1.430408832,1.61309302,1.108628607,1.166994531,1.19642515
1.430408832,1.61309302,1.108628607,1.166994531,1.203261161,1.152947344
1.61309302,1.108628607,1.166994531,1.203261161,1.136691444,1.062210608
1.108628607,1.166994531,1.203261161,1.136691444,0.966282435,0.929619016
1.166994531,1.203261161,1.136691444,0.966282435,0.868454419,0.806705414
1.203261161,1.136691444,0.966282435,0.868454419,0.689496795,0.747564974
1.136691444,0.966282435,0.868454419,0.689496795,0.762347832,0.701511173
0.966282435,0.868454419,0.689496795,0.762347832,0.908356691,0.695553111
0.868454419,0.689496795,0.762347832,0.908356691,0.800296904,0.698292321
0.689496795,0.762347832,0.908356691,0.800296904,0.950396026,0.775716839
0.762347832,0.908356691,0.800296904,0.950396026,0.968726105,0.776875547
0.908356691,0.800296904,0.950396026,0.968726105,0.76617003,0.771579515
0.800296904,0.950396026,0.968726105,0.76617003,0.751839049,0.834445924
0.950396026,0.968726105,0.76617003,0.751839049,0.844150588,0.887140944
0.968726105,0.76617003,0.751839049,0.844150588,0.991501717,0.899357478
0.76617003,0.751839049,0.844150588,0.991501717,0.721105443,0.907631798
0.751839049,0.844150588,0.991501717,0.721105443,1.059302523,0.89709667
0.844150588,0.991501717,0.721105443,1.059302523,0.921593462,0.872395894
0.991501717,0.721105443,1.059302523,0.921593462,0.872116635,0.848675201
0.721105443,1.059302523,0.921593462,0.872116635,0.636256865,0.820447054
1.059302523,0.921593462,0.872116635,0.636256865,0.840285484,0.774945787
0.921593462,0.872116635,0.636256865,0.840285484,0.751793677,0.736434826
0.872116635,0.636256865,0.840285484,0.751793677,0.545850341,0.697786936
0.636256865,0.840285484,0.751793677,0.545850341,0.787830187,0.657037712
0.840285484,0.751793677,0.545850341,0.787830187,0.571876755,0.618522605
0.751793677,0.545850341,0.787830187,0.571876755,0.57205465,0.579322377
0.545850341,0.787830187,0.571876755,0.57205465,0.775364147,0.539780502
0.787830187,0.571876755,0.57205465,0.775364147,0.545487707,0.501254735
0.571876755,0.57205465,0.775364147,0.545487707,0.340007864,0.473008336
0.57205465,0.775364147,0.545487707,0.340007864,0.472917021,0.421726976
0.775364147,0.545487707,0.340007864,0.472917021,0.145096805,0.376828887
0.545487707,0.340007864,0.472917021,0.145096805,0.367106677,0.334404908
0.340007864,0.472917021,0.145096805,0.367106677,0.20801119,0.292597747
0.472917021,0.145096805,0.367106677,0.20801119,0.246629559,0.255016873
0.145096805,0.367106677,0.20801119,0.246629559,0.295246229,0.215441179
0.367106677,0.20801119,0.246629559,0.295246229,0.248524171,0.175801843
0.20801119,0.246629559,0.295246229,0.248524171,0.111769888,0.137403798
0.246629559,0.295246229,0.248524171,0.111769888,0.182531993,0.094322224
0.295246229,0.248524171,0.111769888,0.182531993,-0.089330499,0.052761895
0.248524171,0.111769888,0.182531993,-0.089330499,0.133911883,0.00957539
0.111769888,0.182531993,-0.089330499,0.133911883,-0.025671966,-0.031418714
